dataset,fold,method,first_order_diff_used,train_accuracy,train_auc,test_accuracy,test_auc
auslan2,0,minirocket,0,0.7888888888888889,0.9723765432098764,0.6,0.95
auslan2,0,multirocket,0,0.8111111111111111,0.9792524005486968,0.6,0.9555555555555556
auslan2,0,multirocket,1,0.8111111111111111,0.9802640603566528,0.55,0.9472222222222222
auslan2,0,storm minirocket,0,0.6777777777777778,0.9563443072702332,0.75,0.975
auslan2,0,storm multirocket,0,0.6666666666666666,0.9479080932784636,0.7,0.9527777777777776
auslan2,0,storm multirocket,1,0.7055555555555556,0.9520576131687244,0.85,0.9833333333333332
auslan2,1,minirocket,0,0.8111111111111111,0.977537722908093,0.65,0.9194444444444444
auslan2,1,multirocket,0,0.8222222222222222,0.9829389574759944,0.55,0.9194444444444444
auslan2,1,multirocket,1,0.8666666666666667,0.9885802469135804,0.5,0.9305555555555556
auslan2,1,storm minirocket,0,0.6666666666666666,0.9467764060356652,0.75,0.9083333333333332
auslan2,1,storm multirocket,0,0.7611111111111111,0.9710905349794238,0.8,0.9083333333333332
auslan2,1,storm multirocket,1,0.6777777777777778,0.9497599451303156,0.75,0.9333333333333332
auslan2,2,minirocket,0,0.8,0.97508573388203,0.55,0.9277777777777778
auslan2,2,multirocket,0,0.8333333333333334,0.979938271604938,0.65,0.9333333333333332
auslan2,2,multirocket,1,0.85,0.9882887517146776,0.6,0.9222222222222224
auslan2,2,storm minirocket,0,0.6888888888888889,0.9486282578875171,0.65,0.9277777777777778
auslan2,2,storm multirocket,0,0.6833333333333333,0.940809327846365,0.65,0.9055555555555556
auslan2,2,storm multirocket,1,0.7,0.9466735253772288,0.6,0.9138888888888888
auslan2,3,minirocket,0,0.8166666666666667,0.980315500685871,0.55,0.7694444444444445
auslan2,3,multirocket,0,0.85,0.985150891632373,0.55,0.7833333333333333
auslan2,3,multirocket,1,0.8444444444444444,0.9863511659807956,0.55,0.7861111111111111
auslan2,3,storm minirocket,0,0.6722222222222223,0.9573045267489712,0.6,0.875
auslan2,3,storm multirocket,0,0.7833333333333333,0.9745884773662552,0.6,0.8138888888888889
auslan2,3,storm multirocket,1,0.7,0.9488683127572014,0.65,0.8805555555555555
auslan2,4,minirocket,0,0.7944444444444444,0.9777091906721536,0.5,0.8861111111111111
auslan2,4,multirocket,0,0.8333333333333334,0.9839677640603568,0.5,0.9083333333333332
auslan2,4,multirocket,1,0.8888888888888888,0.991237997256516,0.55,0.9027777777777778
auslan2,4,storm minirocket,0,0.8111111111111111,0.9808127572016462,0.6,0.9138888888888888
auslan2,4,storm multirocket,0,0.7944444444444444,0.9773319615912208,0.7,0.9083333333333332
auslan2,4,storm multirocket,1,0.7222222222222222,0.9609053497942388,0.7,0.9222222222222224
auslan2,5,minirocket,0,0.8166666666666667,0.9793895747599451,0.6,0.8555555555555555
auslan2,5,multirocket,0,0.8555555555555555,0.9837620027434842,0.55,0.85
auslan2,5,multirocket,1,0.8888888888888888,0.9911179698216736,0.55,0.8194444444444444
auslan2,5,storm minirocket,0,0.7666666666666667,0.9738854595336076,0.6,0.8416666666666667
auslan2,5,storm multirocket,0,0.7722222222222223,0.9695130315500684,0.65,0.8805555555555555
auslan2,5,storm multirocket,1,0.7555555555555555,0.9690329218106996,0.6,0.8388888888888889
auslan2,6,minirocket,0,0.8388888888888889,0.9776748971193416,0.5,0.8972222222222223
auslan2,6,multirocket,0,0.85,0.9833333333333332,0.5,0.9166666666666666
auslan2,6,multirocket,1,0.8333333333333334,0.9842421124828532,0.5,0.8722222222222222
auslan2,6,storm minirocket,0,0.7388888888888889,0.9657064471879286,0.6,0.9138888888888888
auslan2,6,storm multirocket,0,0.6833333333333333,0.9622770919067214,0.6,0.9083333333333332
auslan2,6,storm multirocket,1,0.4888888888888889,0.8779835390946502,0.6,0.8583333333333333
auslan2,7,minirocket,0,0.8277777777777777,0.9766460905349792,0.45,0.8444444444444444
auslan2,7,multirocket,0,0.8333333333333334,0.9814128943758572,0.5,0.8305555555555556
auslan2,7,multirocket,1,0.8666666666666667,0.988014403292181,0.4,0.7694444444444445
auslan2,7,storm minirocket,0,0.7166666666666667,0.961917009602195,0.55,0.85
auslan2,7,storm multirocket,0,0.85,0.9844650205761316,0.55,0.8444444444444444
auslan2,7,storm multirocket,1,0.7833333333333333,0.9716049382716048,0.65,0.8222222222222222
auslan2,8,minirocket,0,0.8166666666666667,0.9773319615912206,0.65,0.9333333333333332
auslan2,8,multirocket,0,0.8388888888888889,0.982647462277092,0.65,0.9388888888888888
auslan2,8,multirocket,1,0.8277777777777777,0.9805041152263374,0.65,0.9388888888888888
auslan2,8,storm minirocket,0,0.8,0.97391975308642,0.8,0.9611111111111112
auslan2,8,storm multirocket,0,0.8055555555555556,0.9740397805212618,0.75,0.9555555555555556
auslan2,8,storm multirocket,1,0.7944444444444444,0.9801440329218108,0.75,0.95
auslan2,9,minirocket,0,0.8,0.975925925925926,0.5,0.8833333333333333
auslan2,9,multirocket,0,0.8388888888888889,0.9830761316872426,0.5,0.8611111111111112
auslan2,9,multirocket,1,0.7722222222222223,0.9724279835390948,0.55,0.8833333333333333
auslan2,9,storm minirocket,0,0.8277777777777777,0.9805898491083676,0.55,0.875
auslan2,9,storm multirocket,0,0.6277777777777778,0.9348422496570644,0.55,0.9027777777777778
auslan2,9,storm multirocket,1,0.7722222222222223,0.9705761316872428,0.55,0.875
blocks,0,minirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,1,1.0,1.0,1.0,1.0
blocks,0,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,0,storm multirocket,0,0.9894736842105264,1.0,1.0,1.0
blocks,0,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,1,minirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,1,1.0,1.0,1.0,1.0
blocks,1,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,1,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,1,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,2,minirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,1,1.0,1.0,1.0,1.0
blocks,2,storm minirocket,0,0.9894736842105264,1.0,1.0,1.0
blocks,2,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,2,storm multirocket,1,0.9894736842105264,1.0,1.0,1.0
blocks,3,minirocket,0,1.0,1.0,1.0,1.0
blocks,3,multirocket,0,1.0,1.0,1.0,1.0
blocks,3,multirocket,1,1.0,1.0,1.0,1.0
blocks,3,storm minirocket,0,0.9840425531914894,1.0,1.0,1.0
blocks,3,storm multirocket,0,0.9946808510638298,1.0,1.0,1.0
blocks,3,storm multirocket,1,0.9946808510638298,1.0,1.0,1.0
blocks,4,minirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,1,1.0,1.0,1.0,1.0
blocks,4,storm minirocket,0,0.9789473684210528,1.0,1.0,1.0
blocks,4,storm multirocket,0,0.9789473684210528,1.0,1.0,1.0
blocks,4,storm multirocket,1,0.9894736842105264,1.0,1.0,1.0
blocks,5,minirocket,0,1.0,1.0,1.0,1.0
blocks,5,multirocket,0,1.0,1.0,1.0,1.0
blocks,5,multirocket,1,1.0,1.0,1.0,1.0
blocks,5,storm minirocket,0,0.9893617021276596,1.0,1.0,1.0
blocks,5,storm multirocket,0,0.9946808510638298,1.0,1.0,1.0
blocks,5,storm multirocket,1,0.973404255319149,1.0,1.0,1.0
blocks,6,minirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,1,1.0,1.0,1.0,1.0
blocks,6,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,6,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,6,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,7,minirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,1,1.0,1.0,1.0,1.0
blocks,7,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,7,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,7,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,8,minirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,1,1.0,1.0,1.0,1.0
blocks,8,storm minirocket,0,0.8736842105263158,1.0,1.0,1.0
blocks,8,storm multirocket,0,0.9736842105263158,1.0,1.0,1.0
blocks,8,storm multirocket,1,0.9947368421052633,1.0,1.0,1.0
blocks,9,minirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,1,1.0,1.0,1.0,1.0
blocks,9,storm minirocket,0,0.9840425531914894,1.0,1.0,1.0
blocks,9,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,9,storm multirocket,1,1.0,1.0,1.0,1.0
context,0,minirocket,0,1.0,1.0,1.0,1.0
context,0,multirocket,0,1.0,1.0,1.0,1.0
context,0,multirocket,1,1.0,1.0,0.9545454545454546,0.9875
context,0,storm minirocket,0,0.9128440366972476,0.9936604683195592,1.0,1.0
context,0,storm multirocket,0,0.9174311926605504,0.9911573117539028,1.0,1.0
context,0,storm multirocket,1,0.9220183486238532,0.9931043388429752,1.0,1.0
context,1,minirocket,0,1.0,1.0,0.9583333333333334,1.0
context,1,multirocket,0,1.0,1.0,1.0,1.0
context,1,multirocket,1,1.0,1.0,1.0,1.0
context,1,storm minirocket,0,0.9583333333333334,0.9977002583979327,1.0,1.0
context,1,storm multirocket,0,0.9537037037037036,0.9996358391923564,1.0,1.0
context,1,storm multirocket,1,0.9583333333333334,0.9991214470284238,1.0,1.0
context,2,minirocket,0,1.0,1.0,1.0,1.0
context,2,multirocket,0,1.0,1.0,0.92,0.95
context,2,multirocket,1,1.0,1.0,1.0,1.0
context,2,storm minirocket,0,1.0,1.0,1.0,1.0
context,2,storm multirocket,0,1.0,1.0,1.0,1.0
context,2,storm multirocket,1,1.0,1.0,1.0,1.0
context,3,minirocket,0,1.0,1.0,1.0,1.0
context,3,multirocket,0,1.0,1.0,1.0,1.0
context,3,multirocket,1,1.0,1.0,1.0,1.0
context,3,storm minirocket,0,0.9722222222222222,0.9994549606393848,1.0,1.0
context,3,storm multirocket,0,0.976851851851852,0.9999483204134368,1.0,1.0
context,3,storm multirocket,1,0.9629629629629628,0.997751937984496,1.0,1.0
context,4,minirocket,0,1.0,1.0,1.0,1.0
context,4,multirocket,0,1.0,1.0,1.0,1.0
context,4,multirocket,1,1.0,1.0,0.96,0.95
context,4,storm minirocket,0,1.0,1.0,1.0,1.0
context,4,storm multirocket,0,1.0,1.0,1.0,1.0
context,4,storm multirocket,1,0.958139534883721,0.9988101676581936,1.0,1.0
context,5,minirocket,0,1.0,1.0,0.9545454545454546,1.0
context,5,multirocket,0,1.0,1.0,0.9545454545454546,1.0
context,5,multirocket,1,1.0,1.0,0.9545454545454546,1.0
context,5,storm minirocket,0,1.0,1.0,1.0,1.0
context,5,storm multirocket,0,0.9678899082568808,0.9983838383838384,1.0,0.9975
context,5,storm multirocket,1,1.0,1.0,1.0,1.0
context,6,minirocket,0,1.0,1.0,1.0,1.0
context,6,multirocket,0,1.0,1.0,1.0,1.0
context,6,multirocket,1,1.0,1.0,1.0,1.0
context,6,storm minirocket,0,0.9722222222222222,0.9993774412595396,1.0,1.0
context,6,storm multirocket,0,0.9814814814814816,0.9996298299381046,1.0,1.0
context,6,storm multirocket,1,0.9814814814814816,0.9985776095186588,1.0,1.0
context,7,minirocket,0,1.0,1.0,1.0,1.0
context,7,multirocket,0,1.0,1.0,0.96,0.962
context,7,multirocket,1,1.0,1.0,1.0,1.0
context,7,storm minirocket,0,0.972093023255814,0.9981912144702842,1.0,1.0
context,7,storm multirocket,0,0.9767441860465116,0.9990180878552972,1.0,1.0
context,7,storm multirocket,1,0.9627906976744186,0.9982392885042966,1.0,1.0
context,8,minirocket,0,1.0,1.0,1.0,1.0
context,8,multirocket,0,1.0,1.0,1.0,1.0
context,8,multirocket,1,1.0,1.0,1.0,1.0
context,8,storm minirocket,0,0.976851851851852,0.9996887206297698,1.0,1.0
context,8,storm multirocket,0,0.9907407407407408,0.9997157622739016,1.0,1.0
context,8,storm multirocket,1,0.9953703703703703,1.0,1.0,1.0
context,9,minirocket,0,1.0,1.0,1.0,1.0
context,9,multirocket,0,1.0,1.0,1.0,1.0
context,9,multirocket,1,1.0,1.0,0.96,0.95
context,9,storm minirocket,0,0.9813953488372092,0.9998191214470284,1.0,1.0
context,9,storm multirocket,0,1.0,1.0,1.0,1.0
context,9,storm multirocket,1,0.986046511627907,0.9998708010335916,1.0,1.0
hepatitis,0,minirocket,0,0.9086859688195992,0.9058815070463042,0.8163265306122449,0.8215517241379311
hepatitis,0,multirocket,0,0.9910913140311804,0.9899235794404042,0.8571428571428571,0.8482758620689655
hepatitis,0,multirocket,1,0.9933184855233852,0.9926558198775628,0.8367346938775511,0.8232758620689656
hepatitis,0,storm minirocket,0,0.9242761692650334,0.9079563663256502,0.9183673469387756,0.9
hepatitis,0,storm multirocket,0,0.933184855233853,0.9197378692633222,0.9183673469387756,0.907758620689655
hepatitis,0,storm multirocket,1,0.888641425389755,0.8693557664653437,0.8979591836734694,0.8905172413793103
hepatitis,1,minirocket,0,0.9620535714285714,0.9577791524899474,0.84,0.8416666666666667
hepatitis,1,multirocket,0,0.9910714285714286,0.9899164862356944,0.88,0.8666666666666667
hepatitis,1,multirocket,1,0.9308035714285714,0.9279822662130116,0.88,0.875
hepatitis,1,storm minirocket,0,0.921875,0.9077533766367668,0.92,0.9083333333333332
hepatitis,1,storm multirocket,0,0.984375,0.9808743169398908,0.9,0.8833333333333333
hepatitis,1,storm multirocket,1,0.8705357142857143,0.8584390143313744,0.9,0.8916666666666667
hepatitis,2,minirocket,0,0.9688195991091314,0.9660113398249722,0.7959183673469388,0.7887931034482759
hepatitis,2,multirocket,0,0.9955456570155902,0.994535519125683,0.8571428571428571,0.8405172413793103
hepatitis,2,multirocket,1,0.9977728285077953,0.9972677595628416,0.7959183673469388,0.7810344827586206
hepatitis,2,storm minirocket,0,0.8129175946547884,0.8037409096511771,0.8163265306122449,0.7982758620689655
hepatitis,2,storm multirocket,0,0.8819599109131403,0.859453962775792,0.8571428571428571,0.8405172413793103
hepatitis,2,storm multirocket,1,0.8285077951002228,0.8117835572537901,0.8367346938775511,0.8155172413793104
hepatitis,3,minirocket,0,0.9619686800894854,0.9601803856520836,0.8431372549019608,0.8309523809523809
hepatitis,3,multirocket,0,0.9955257270693512,0.9945054945054944,0.8627450980392157,0.8547619047619047
hepatitis,3,multirocket,1,0.9977628635346756,0.9972527472527472,0.9019607843137256,0.888095238095238
hepatitis,3,storm minirocket,0,0.8366890380313199,0.8097760729836201,0.9215686274509804,0.9047619047619048
hepatitis,3,storm multirocket,0,0.8076062639821029,0.7886896122745181,0.9215686274509804,0.9047619047619048
hepatitis,3,storm multirocket,1,0.7762863534675615,0.7528094546962472,0.9215686274509804,0.9047619047619048
hepatitis,4,minirocket,0,0.959910913140312,0.9601976252105674,0.7346938775510204,0.7525862068965518
hepatitis,4,multirocket,0,0.9955456570155902,0.994535519125683,0.8163265306122449,0.8137931034482759
hepatitis,4,multirocket,1,0.9977728285077953,0.9972677595628416,0.8367346938775511,0.8310344827586207
hepatitis,4,storm minirocket,0,0.977728285077951,0.9726775956284152,0.8775510204081632,0.8577586206896552
hepatitis,4,storm multirocket,0,0.9020044543429844,0.8891593738444472,0.8367346938775511,0.8232758620689656
hepatitis,4,storm multirocket,1,0.8930957683741648,0.8773778709067751,0.8163265306122449,0.8060344827586207
hepatitis,5,minirocket,0,0.9642857142857144,0.9622022888957624,0.86,0.8500000000000001
hepatitis,5,multirocket,0,0.9910714285714286,0.9907619342200228,0.88,0.8833333333333333
