dataset,fold,method,first_order_diff_used,train_accuracy,train_auc,test_accuracy,test_auc
auslan2,0,storm minirocket,0,0.6833333333333333,0.9583676268861452,0.7,0.9388888888888888
auslan2,0,storm multirocket,0,0.6666666666666666,0.9412208504801098,0.7,0.95
auslan2,0,storm multirocket,1,0.5444444444444444,0.918415637860082,0.7,0.8972222222222223
auslan2,1,storm minirocket,0,0.6666666666666666,0.9469135802469136,0.75,0.9388888888888888
auslan2,1,storm multirocket,0,0.6722222222222223,0.9462620027434844,0.75,0.95
auslan2,1,storm multirocket,1,0.55,0.9121742112482852,0.65,0.9222222222222224
auslan2,2,storm minirocket,0,0.8333333333333334,0.9807613168724278,0.65,0.9027777777777778
auslan2,2,storm multirocket,0,0.6055555555555555,0.9351851851851852,0.6,0.9166666666666666
auslan2,2,storm multirocket,1,0.5222222222222223,0.9205075445816188,0.55,0.8916666666666667
auslan2,3,storm minirocket,0,0.6333333333333333,0.9489026063100136,0.6,0.8472222222222222
auslan2,3,storm multirocket,0,0.7555555555555555,0.9592592592592594,0.6,0.8388888888888889
auslan2,3,storm multirocket,1,0.6944444444444444,0.9552469135802468,0.6,0.8888888888888888
auslan2,4,storm minirocket,0,0.7444444444444445,0.9655349794238683,0.65,0.9166666666666666
auslan2,4,storm multirocket,0,0.65,0.9416666666666668,0.6,0.9166666666666666
auslan2,4,storm multirocket,1,0.6111111111111112,0.9271947873799724,0.55,0.9138888888888888
auslan2,5,storm minirocket,0,0.8166666666666667,0.975925925925926,0.6,0.8277777777777777
auslan2,5,storm multirocket,0,0.7055555555555556,0.956241426611797,0.55,0.8194444444444444
auslan2,5,storm multirocket,1,0.7166666666666667,0.9560356652949248,0.6,0.8305555555555556
auslan2,6,storm minirocket,0,0.5055555555555555,0.9033607681755832,0.6,0.9083333333333332
auslan2,6,storm multirocket,0,0.7,0.9467764060356652,0.65,0.9277777777777778
auslan2,6,storm multirocket,1,0.55,0.9037037037037036,0.65,0.8833333333333333
auslan2,7,storm minirocket,0,0.7555555555555555,0.9694787379972564,0.55,0.8416666666666667
auslan2,7,storm multirocket,0,0.7722222222222223,0.9688271604938272,0.55,0.85
auslan2,7,storm multirocket,1,0.55,0.8919753086419754,0.5,0.775
auslan2,8,storm minirocket,0,0.8222222222222222,0.9801783264746228,0.8,0.9527777777777776
auslan2,8,storm multirocket,0,0.6111111111111112,0.9376200274348422,0.75,0.9222222222222224
auslan2,8,storm multirocket,1,0.5611111111111111,0.9000685871056242,0.7,0.8805555555555555
auslan2,9,storm minirocket,0,0.5277777777777778,0.8988683127572014,0.5,0.8888888888888888
auslan2,9,storm multirocket,0,0.6166666666666667,0.9405349794238682,0.55,0.8833333333333333
auslan2,9,storm multirocket,1,0.6222222222222222,0.9360082304526752,0.6,0.8861111111111111
blocks,0,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,0,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,0,storm multirocket,1,0.9789473684210528,1.0,1.0,1.0
blocks,1,storm minirocket,0,0.9840425531914894,1.0,1.0,1.0
blocks,1,storm multirocket,0,0.9787234042553192,1.0,1.0,1.0
blocks,1,storm multirocket,1,0.973404255319149,1.0,1.0,1.0
blocks,2,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,2,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,2,storm multirocket,1,0.9842105263157894,0.9999265138154028,1.0,1.0
blocks,3,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,1,0.973404255319149,1.0,1.0,1.0
