dataset,fold,method,first_order_diff_used,train_accuracy,train_auc,test_accuracy,test_auc
auslan2,0,minirocket,0,0.75,0.9697702331961592,0.7,0.9555555555555556
auslan2,0,multirocket,0,0.7888888888888889,0.9743655692729768,0.6,0.9527777777777776
auslan2,0,multirocket,1,0.7944444444444444,0.9752572016460904,0.6,0.9472222222222222
auslan2,0,storm minirocket,0,0.7666666666666667,0.9693758573388204,0.8,0.9472222222222222
auslan2,0,storm multirocket,0,0.7166666666666667,0.957733196159122,0.75,0.9527777777777776
auslan2,0,storm multirocket,1,0.5222222222222223,0.9234567901234568,0.7,0.9416666666666668
auslan2,1,minirocket,0,0.7944444444444444,0.9733882030178326,0.65,0.9416666666666668
auslan2,1,multirocket,0,0.8111111111111111,0.9785836762688614,0.6,0.925
auslan2,1,multirocket,1,0.8444444444444444,0.9861282578875172,0.5,0.9277777777777778
auslan2,1,storm minirocket,0,0.7111111111111111,0.9556241426611798,0.7,0.8805555555555555
auslan2,1,storm multirocket,0,0.7,0.9484224965706448,0.7,0.9027777777777778
auslan2,1,storm multirocket,1,0.6777777777777778,0.9431927297668038,0.7,0.9083333333333332
auslan2,2,minirocket,0,0.7833333333333333,0.972153635116598,0.65,0.9305555555555556
auslan2,2,multirocket,0,0.8,0.9773319615912206,0.55,0.9333333333333332
auslan2,2,multirocket,1,0.8277777777777777,0.9852880658436214,0.6,0.9222222222222224
auslan2,2,storm minirocket,0,0.7444444444444445,0.9631001371742112,0.65,0.9055555555555556
auslan2,2,storm multirocket,0,0.7333333333333333,0.9626886145404664,0.6,0.9277777777777778
auslan2,2,storm multirocket,1,0.4277777777777777,0.8676954732510288,0.65,0.9305555555555556
auslan2,3,minirocket,0,0.7833333333333333,0.9760973936899864,0.5,0.8277777777777777
auslan2,3,multirocket,0,0.8166666666666667,0.9814128943758572,0.55,0.8194444444444444
auslan2,3,multirocket,1,0.8166666666666667,0.9828532235939644,0.55,0.8138888888888889
auslan2,3,storm minirocket,0,0.6666666666666666,0.953926611796982,0.6,0.8472222222222222
auslan2,3,storm multirocket,0,0.6944444444444444,0.9549382716049384,0.6,0.8305555555555556
auslan2,3,storm multirocket,1,0.7444444444444445,0.9563614540466392,0.6,0.8444444444444444
auslan2,4,minirocket,0,0.7722222222222223,0.974108367626886,0.55,0.9083333333333332
auslan2,4,multirocket,0,0.8055555555555556,0.97988683127572,0.5,0.9222222222222224
auslan2,4,multirocket,1,0.8666666666666667,0.988357338820302,0.5,0.9111111111111112
auslan2,4,storm minirocket,0,0.6722222222222223,0.9523319615912208,0.55,0.8972222222222223
auslan2,4,storm multirocket,0,0.8666666666666667,0.9863340192043896,0.7,0.9194444444444444
auslan2,4,storm multirocket,1,0.6055555555555555,0.9319615912208504,0.6,0.9166666666666666
auslan2,5,minirocket,0,0.8,0.9732853223593964,0.6,0.8444444444444444
auslan2,5,multirocket,0,0.8277777777777777,0.979338134430727,0.55,0.8361111111111111
auslan2,5,multirocket,1,0.8777777777777778,0.9887345679012346,0.55,0.8222222222222222
auslan2,5,storm minirocket,0,0.6611111111111111,0.948045267489712,0.65,0.8305555555555556
auslan2,5,storm multirocket,0,0.8444444444444444,0.986076817558299,0.65,0.8472222222222222
auslan2,5,storm multirocket,1,0.7111111111111111,0.9566529492455418,0.6,0.8388888888888889
auslan2,6,minirocket,0,0.8666666666666667,0.984567901234568,0.45,0.8888888888888888
auslan2,6,multirocket,0,0.8333333333333334,0.9791152263374484,0.65,0.9222222222222224
auslan2,6,multirocket,1,0.8166666666666667,0.979681069958848,0.6,0.875
auslan2,6,storm minirocket,0,0.5722222222222222,0.9222908093278464,0.7,0.9277777777777778
auslan2,6,storm multirocket,0,0.5666666666666667,0.9294924554183812,0.65,0.9194444444444444
auslan2,6,storm multirocket,1,0.7055555555555556,0.9448559670781892,0.6,0.9027777777777778
auslan2,7,minirocket,0,0.8166666666666667,0.9733539094650208,0.5,0.8305555555555556
auslan2,7,multirocket,0,0.8222222222222222,0.9784807956104252,0.5,0.8472222222222222
auslan2,7,multirocket,1,0.8444444444444444,0.9852880658436216,0.45,0.7777777777777778
auslan2,7,storm minirocket,0,0.6166666666666667,0.9418038408779148,0.5,0.8222222222222222
auslan2,7,storm multirocket,0,0.7333333333333333,0.9589334705075446,0.55,0.8305555555555556
auslan2,7,storm multirocket,1,0.4555555555555555,0.8801611796982167,0.5,0.8083333333333333
auslan2,8,minirocket,0,0.7888888888888889,0.9734910836762688,0.65,0.95
auslan2,8,multirocket,0,0.8222222222222222,0.9785493827160492,0.7,0.9472222222222222
auslan2,8,multirocket,1,0.8555555555555555,0.9867798353909466,0.65,0.925
auslan2,8,storm minirocket,0,0.8333333333333334,0.9781035665294924,0.8,0.9583333333333334
auslan2,8,storm multirocket,0,0.7944444444444444,0.9726851851851852,0.75,0.9277777777777778
auslan2,8,storm multirocket,1,0.7277777777777777,0.9609396433470506,0.7,0.925
auslan2,9,minirocket,0,0.8,0.972599451303155,0.55,0.8916666666666667
auslan2,9,multirocket,0,0.8222222222222222,0.9780349794238684,0.45,0.8861111111111111
auslan2,9,multirocket,1,0.8166666666666667,0.980246913580247,0.5,0.8833333333333333
auslan2,9,storm minirocket,0,0.6166666666666667,0.9252572016460904,0.55,0.9166666666666666
auslan2,9,storm multirocket,0,0.5444444444444444,0.9177297668038408,0.55,0.9
auslan2,9,storm multirocket,1,0.7944444444444444,0.9701474622770918,0.65,0.9055555555555556
blocks,0,minirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,1,1.0,1.0,1.0,1.0
blocks,0,storm minirocket,0,0.9894736842105264,1.0,1.0,1.0
blocks,0,storm multirocket,0,0.9789473684210528,0.999804036841074,1.0,1.0
blocks,0,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,1,minirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,1,1.0,1.0,1.0,1.0
blocks,1,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,1,storm multirocket,0,0.9574468085106383,0.9999265138154028,1.0,1.0
blocks,1,storm multirocket,1,0.9680851063829788,1.0,1.0,1.0
blocks,2,minirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,1,1.0,1.0,1.0,1.0
blocks,2,storm minirocket,0,0.963157894736842,1.0,1.0,1.0
blocks,2,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,2,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,3,minirocket,0,1.0,1.0,1.0,1.0
blocks,3,multirocket,0,1.0,1.0,0.9545454545454546,1.0
blocks,3,multirocket,1,1.0,1.0,1.0,1.0
blocks,3,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,1,0.9680851063829788,0.9997531617901988,1.0,1.0
blocks,4,minirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,1,1.0,1.0,1.0,1.0
blocks,4,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,4,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,4,storm multirocket,1,0.9578947368421052,0.9947089947089948,1.0,1.0
blocks,5,minirocket,0,1.0,1.0,1.0,1.0
blocks,5,multirocket,0,1.0,1.0,1.0,1.0
blocks,5,multirocket,1,1.0,1.0,1.0,1.0
blocks,5,storm minirocket,0,0.9840425531914894,1.0,1.0,1.0
blocks,5,storm multirocket,0,0.9893617021276596,1.0,1.0,1.0
blocks,5,storm multirocket,1,0.9787234042553192,0.999804036841074,1.0,1.0
blocks,6,minirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,1,1.0,1.0,1.0,1.0
blocks,6,storm minirocket,0,0.9789473684210528,1.0,1.0,1.0
blocks,6,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,6,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,7,minirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,1,1.0,1.0,1.0,1.0
blocks,7,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,7,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,7,storm multirocket,1,0.9308510638297872,1.0,1.0,1.0
blocks,8,minirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,1,1.0,1.0,1.0,1.0
blocks,8,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,8,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,8,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,9,minirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,1,1.0,1.0,1.0,1.0
blocks,9,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,9,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,9,storm multirocket,1,1.0,1.0,1.0,1.0
context,0,minirocket,0,1.0,1.0,1.0,1.0
context,0,multirocket,0,1.0,1.0,1.0,1.0
context,0,multirocket,1,1.0,1.0,1.0,1.0
context,0,storm minirocket,0,0.9724770642201837,0.9992676767676768,1.0,1.0
context,0,storm multirocket,0,0.9495412844036696,0.9987614784205692,1.0,1.0
context,0,storm multirocket,1,0.9220183486238532,0.990809496479951,1.0,1.0
context,1,minirocket,0,1.0,1.0,1.0,1.0
context,1,multirocket,0,1.0,1.0,1.0,1.0
context,1,multirocket,1,1.0,1.0,1.0,1.0
context,1,storm minirocket,0,0.9212962962962964,0.9921915750255396,1.0,0.996
context,1,storm multirocket,0,0.9722222222222222,0.9978811369509044,1.0,1.0
context,1,storm multirocket,1,0.9398148148148148,0.9974532780481942,1.0,1.0
context,2,minirocket,0,1.0,1.0,1.0,1.0
context,2,multirocket,0,1.0,1.0,1.0,1.0
context,2,multirocket,1,1.0,1.0,0.96,0.95
context,2,storm minirocket,0,1.0,1.0,1.0,1.0
context,2,storm multirocket,0,1.0,1.0,1.0,1.0
context,2,storm multirocket,1,0.9953488372093025,0.9999701848539058,1.0,1.0
context,3,minirocket,0,1.0,1.0,1.0,1.0
context,3,multirocket,0,1.0,1.0,0.9583333333333334,0.9375
context,3,multirocket,1,1.0,1.0,0.9583333333333334,0.9375
context,3,storm minirocket,0,0.9722222222222222,0.999611201249925,1.0,1.0
context,3,storm multirocket,0,0.976851851851852,0.9989922480620156,1.0,1.0
context,3,storm multirocket,1,0.9907407407407408,0.9993798449612402,1.0,1.0
context,4,minirocket,0,1.0,1.0,1.0,1.0
context,4,multirocket,0,1.0,1.0,1.0,1.0
context,4,multirocket,1,1.0,1.0,1.0,1.0
context,4,storm minirocket,0,1.0,1.0,1.0,1.0
