dataset,fold,method,first_order_diff_used,train_accuracy,train_auc,test_accuracy,test_auc
auslan2,0,minirocket,0,0.7888888888888889,0.9723765432098764,0.6,0.95
auslan2,0,multirocket,0,0.8111111111111111,0.9792524005486968,0.6,0.9555555555555556
auslan2,0,multirocket,1,0.8111111111111111,0.9802640603566528,0.55,0.9472222222222222
auslan2,0,storm minirocket,0,0.6944444444444444,0.9565500685871056,0.75,0.9722222222222222
auslan2,0,storm multirocket,0,0.7166666666666667,0.9590192043895746,0.8,0.9722222222222222
auslan2,0,storm multirocket,1,0.7777777777777778,0.969667352537723,0.75,0.9666666666666668
auslan2,1,minirocket,0,0.8111111111111111,0.977537722908093,0.65,0.9194444444444444
auslan2,1,multirocket,0,0.8222222222222222,0.9829389574759944,0.55,0.9194444444444444
auslan2,1,multirocket,1,0.8666666666666667,0.9885802469135804,0.5,0.9305555555555556
auslan2,1,storm minirocket,0,0.65,0.9420781893004117,0.75,0.9305555555555556
auslan2,1,storm multirocket,0,0.7444444444444445,0.96440329218107,0.7,0.9305555555555556
auslan2,1,storm multirocket,1,0.7333333333333333,0.9687242798353908,0.8,0.9583333333333334
auslan2,2,minirocket,0,0.8,0.97508573388203,0.55,0.9277777777777778
auslan2,2,multirocket,0,0.8333333333333334,0.979938271604938,0.65,0.9333333333333332
auslan2,2,multirocket,1,0.85,0.9882887517146776,0.6,0.9222222222222224
auslan2,2,storm minirocket,0,0.6777777777777778,0.9509259259259262,0.6,0.9027777777777778
auslan2,2,storm multirocket,0,0.8555555555555555,0.9820301783264744,0.6,0.8944444444444445
auslan2,2,storm multirocket,1,0.7722222222222223,0.9675925925925924,0.65,0.8861111111111111
auslan2,3,minirocket,0,0.8166666666666667,0.980315500685871,0.55,0.7694444444444445
auslan2,3,multirocket,0,0.85,0.985150891632373,0.55,0.7833333333333333
auslan2,3,multirocket,1,0.8444444444444444,0.9863511659807956,0.55,0.7861111111111111
auslan2,3,storm minirocket,0,0.6944444444444444,0.964523319615912,0.6,0.8805555555555555
auslan2,3,storm multirocket,0,0.7055555555555556,0.9564471879286692,0.6,0.8694444444444445
auslan2,3,storm multirocket,1,0.6555555555555556,0.9468621399176956,0.65,0.8972222222222223
auslan2,4,minirocket,0,0.7944444444444444,0.9777091906721536,0.5,0.8861111111111111
auslan2,4,multirocket,0,0.8333333333333334,0.9839677640603568,0.5,0.9083333333333332
auslan2,4,multirocket,1,0.8888888888888888,0.991237997256516,0.55,0.9027777777777778
auslan2,4,storm minirocket,0,0.85,0.9859739368998628,0.65,0.9166666666666666
auslan2,4,storm multirocket,0,0.5944444444444444,0.9247770919067216,0.65,0.8944444444444445
auslan2,4,storm multirocket,1,0.8055555555555556,0.9710390946502058,0.6,0.8916666666666667
auslan2,5,minirocket,0,0.8166666666666667,0.9793895747599451,0.6,0.8555555555555555
auslan2,5,multirocket,0,0.8555555555555555,0.9837620027434842,0.55,0.85
auslan2,5,multirocket,1,0.8888888888888888,0.9911179698216736,0.55,0.8194444444444444
auslan2,5,storm minirocket,0,0.7611111111111111,0.9744513031550068,0.65,0.8611111111111112
auslan2,5,storm multirocket,0,0.8166666666666667,0.9762345679012346,0.6,0.8444444444444444
auslan2,5,storm multirocket,1,0.8444444444444444,0.9831790123456788,0.65,0.85
auslan2,6,minirocket,0,0.8388888888888889,0.9776748971193416,0.5,0.8972222222222223
auslan2,6,multirocket,0,0.85,0.9833333333333332,0.5,0.9166666666666666
auslan2,6,multirocket,1,0.8333333333333334,0.9842421124828532,0.5,0.8722222222222222
auslan2,6,storm minirocket,0,0.4944444444444444,0.8911522633744856,0.65,0.9
auslan2,6,storm multirocket,0,0.5111111111111111,0.9072873799725653,0.6,0.8944444444444445
auslan2,6,storm multirocket,1,0.6055555555555555,0.929869684499314,0.65,0.9083333333333332
auslan2,7,minirocket,0,0.8277777777777777,0.9766460905349792,0.45,0.8444444444444444
auslan2,7,multirocket,0,0.8333333333333334,0.9814128943758572,0.5,0.8305555555555556
auslan2,7,multirocket,1,0.8666666666666667,0.988014403292181,0.4,0.7694444444444445
auslan2,7,storm minirocket,0,0.7944444444444444,0.9729595336076818,0.5,0.8222222222222222
auslan2,7,storm multirocket,0,0.7333333333333333,0.9625685871056242,0.5,0.8333333333333334
auslan2,7,storm multirocket,1,0.7944444444444444,0.9772633744855966,0.6,0.8472222222222222
auslan2,8,minirocket,0,0.8166666666666667,0.9773319615912206,0.65,0.9333333333333332
auslan2,8,multirocket,0,0.8388888888888889,0.982647462277092,0.65,0.9388888888888888
auslan2,8,multirocket,1,0.8277777777777777,0.9805041152263374,0.65,0.9388888888888888
auslan2,8,storm minirocket,0,0.8,0.9737654320987654,0.8,0.9638888888888888
auslan2,8,storm multirocket,0,0.8055555555555556,0.9764403292181072,0.75,0.9416666666666668
auslan2,8,storm multirocket,1,0.6888888888888889,0.959739368998628,0.75,0.9388888888888888
auslan2,9,minirocket,0,0.8,0.975925925925926,0.5,0.8833333333333333
auslan2,9,multirocket,0,0.8388888888888889,0.9830761316872426,0.5,0.8611111111111112
auslan2,9,multirocket,1,0.7722222222222223,0.9724279835390948,0.55,0.8833333333333333
auslan2,9,storm minirocket,0,0.6666666666666666,0.948028120713306,0.55,0.8972222222222223
auslan2,9,storm multirocket,0,0.6111111111111112,0.9395233196159124,0.6,0.9138888888888888
auslan2,9,storm multirocket,1,0.8055555555555556,0.9830589849108368,0.55,0.8611111111111112
blocks,0,minirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,1,1.0,1.0,1.0,1.0
blocks,0,storm minirocket,0,0.9789473684210528,0.9973578717201166,1.0,1.0
blocks,0,storm multirocket,0,0.9947368421052633,1.0,1.0,1.0
blocks,0,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,1,minirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,1,1.0,1.0,1.0,1.0
blocks,1,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,1,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,1,storm multirocket,1,0.9893617021276596,1.0,1.0,1.0
blocks,2,minirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,1,1.0,1.0,1.0,1.0
blocks,2,storm minirocket,0,0.9947368421052633,1.0,1.0,1.0
blocks,2,storm multirocket,0,0.9947368421052633,1.0,1.0,1.0
blocks,2,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,3,minirocket,0,1.0,1.0,1.0,1.0
blocks,3,multirocket,0,1.0,1.0,1.0,1.0
blocks,3,multirocket,1,1.0,1.0,1.0,1.0
blocks,3,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,1,0.9946808510638298,1.0,1.0,1.0
blocks,4,minirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,1,1.0,1.0,1.0,1.0
blocks,4,storm minirocket,0,0.9842105263157894,1.0,1.0,1.0
blocks,4,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,4,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,5,minirocket,0,1.0,1.0,1.0,1.0
blocks,5,multirocket,0,1.0,1.0,1.0,1.0
blocks,5,multirocket,1,1.0,1.0,1.0,1.0
blocks,5,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,5,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,5,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,6,minirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,1,1.0,1.0,1.0,1.0
blocks,6,storm minirocket,0,0.963157894736842,1.0,1.0,1.0
blocks,6,storm multirocket,0,0.9947368421052633,1.0,1.0,1.0
blocks,6,storm multirocket,1,0.9736842105263158,1.0,1.0,1.0
blocks,7,minirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,1,1.0,1.0,1.0,1.0
blocks,7,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,7,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,7,storm multirocket,1,0.9946808510638298,1.0,1.0,1.0
blocks,8,minirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,1,1.0,1.0,1.0,1.0
blocks,8,storm minirocket,0,0.9578947368421052,1.0,1.0,1.0
blocks,8,storm multirocket,0,0.968421052631579,1.0,1.0,1.0
blocks,8,storm multirocket,1,1.0,1.0,1.0,1.0
blocks,9,minirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,1,1.0,1.0,1.0,1.0
blocks,9,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,9,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,9,storm multirocket,1,0.9893617021276596,1.0,1.0,1.0
context,0,minirocket,0,1.0,1.0,1.0,1.0
context,0,multirocket,0,1.0,1.0,1.0,1.0
context,0,multirocket,1,1.0,1.0,0.9545454545454546,0.9875
context,0,storm minirocket,0,0.9862385321100916,1.0,1.0,1.0
context,0,storm multirocket,0,0.9678899082568808,0.996507116620753,1.0,1.0
context,0,storm multirocket,1,0.9862385321100916,0.9990444214876032,1.0,1.0
context,1,minirocket,0,1.0,1.0,0.9583333333333334,1.0
context,1,multirocket,0,1.0,1.0,1.0,1.0
context,1,multirocket,1,1.0,1.0,1.0,1.0
context,1,storm minirocket,0,0.976851851851852,0.99531533561685,1.0,0.9825
context,1,storm multirocket,0,0.9537037037037036,0.999837750135208,1.0,1.0
context,1,storm multirocket,1,1.0,1.0,1.0,1.0
context,2,minirocket,0,1.0,1.0,1.0,1.0
context,2,multirocket,0,1.0,1.0,0.92,0.95
context,2,multirocket,1,1.0,1.0,1.0,1.0
context,2,storm minirocket,0,0.9813953488372092,0.9999459167117362,1.0,1.0
context,2,storm multirocket,0,0.9813953488372092,0.999972958355868,1.0,1.0
context,2,storm multirocket,1,0.972093023255814,0.999647765250794,1.0,1.0
context,3,minirocket,0,1.0,1.0,1.0,1.0
context,3,multirocket,0,1.0,1.0,1.0,1.0
context,3,multirocket,1,1.0,1.0,1.0,1.0
context,3,storm minirocket,0,0.9675925925925926,0.9972521182621238,1.0,1.0
context,3,storm multirocket,0,0.9722222222222222,0.9993976473769604,1.0,1.0
context,3,storm multirocket,1,0.9907407407407408,0.9976744186046512,1.0,1.0
context,4,minirocket,0,1.0,1.0,1.0,1.0
context,4,multirocket,0,1.0,1.0,1.0,1.0
context,4,multirocket,1,1.0,1.0,0.96,0.95
context,4,storm minirocket,0,0.9906976744186048,0.999972958355868,1.0,1.0
context,4,storm multirocket,0,0.9953488372093025,1.0,1.0,1.0
context,4,storm multirocket,1,1.0,1.0,1.0,1.0
context,5,minirocket,0,1.0,1.0,0.9545454545454546,1.0
context,5,multirocket,0,1.0,1.0,0.9545454545454546,1.0
context,5,multirocket,1,1.0,1.0,0.9545454545454546,1.0
context,5,storm minirocket,0,1.0,1.0,1.0,1.0
context,5,storm multirocket,0,0.9403669724770642,0.9983789600550964,1.0,1.0
context,5,storm multirocket,1,0.963302752293578,0.9843078512396696,0.9545454545454546,0.953125
context,6,minirocket,0,1.0,1.0,1.0,1.0
context,6,multirocket,0,1.0,1.0,1.0,1.0
context,6,multirocket,1,1.0,1.0,1.0,1.0
context,6,storm minirocket,0,0.976851851851852,0.9998107084910762,1.0,1.0
context,6,storm multirocket,0,0.9722222222222222,0.999326587945436,1.0,1.0
context,6,storm multirocket,1,1.0,1.0,1.0,1.0
context,7,minirocket,0,1.0,1.0,1.0,1.0
context,7,multirocket,0,1.0,1.0,0.96,0.962
context,7,multirocket,1,1.0,1.0,1.0,1.0
context,7,storm minirocket,0,1.0,1.0,1.0,1.0
context,7,storm multirocket,0,0.9953488372093025,1.0,1.0,1.0
context,7,storm multirocket,1,1.0,1.0,1.0,1.0
context,8,minirocket,0,1.0,1.0,1.0,1.0
context,8,multirocket,0,1.0,1.0,1.0,1.0
context,8,multirocket,1,1.0,1.0,1.0,1.0
context,8,storm minirocket,0,0.9722222222222222,0.9980123640406228,1.0,0.994
context,8,storm multirocket,0,0.9675925925925926,0.9980264857881136,1.0,0.996
context,8,storm multirocket,1,0.9953703703703703,1.0,1.0,1.0
context,9,minirocket,0,1.0,1.0,1.0,1.0
context,9,multirocket,0,1.0,1.0,1.0,1.0
context,9,multirocket,1,1.0,1.0,0.96,0.95
context,9,storm minirocket,0,0.9348837209302324,0.9922122838401908,1.0,0.992
context,9,storm multirocket,0,1.0,1.0,1.0,1.0
context,9,storm multirocket,1,0.9906976744186048,0.999701848539058,1.0,1.0
hepatitis,0,minirocket,0,0.9086859688195992,0.9058815070463042,0.8163265306122449,0.8215517241379311
hepatitis,0,multirocket,0,0.9910913140311804,0.9899235794404042,0.8571428571428571,0.8482758620689655
hepatitis,0,multirocket,1,0.9933184855233852,0.9926558198775628,0.8367346938775511,0.8232758620689656
hepatitis,0,storm minirocket,0,0.979955456570156,0.9762623772546118,0.9183673469387756,0.9077586206896552
hepatitis,0,storm multirocket,0,0.8975501113585747,0.8939253872385884,0.9183673469387756,0.9077586206896552
hepatitis,0,storm multirocket,1,0.8351893095768375,0.8233904433214183,0.8775510204081632,0.8732758620689656
hepatitis,1,minirocket,0,0.9620535714285714,0.9577791524899474,0.84,0.8416666666666667
hepatitis,1,multirocket,0,0.9910714285714286,0.9899164862356944,0.88,0.8666666666666667
hepatitis,1,multirocket,1,0.9308035714285714,0.9279822662130116,0.88,0.875
hepatitis,1,storm minirocket,0,1.0,1.0,0.98,0.975
hepatitis,1,storm multirocket,0,0.9977678571428572,0.9972677595628416,0.92,0.9
hepatitis,1,storm multirocket,1,0.953125,0.951077430662955,0.92,0.9083333333333332
hepatitis,2,minirocket,0,0.9688195991091314,0.9660113398249722,0.7959183673469388,0.7887931034482759
hepatitis,2,multirocket,0,0.9955456570155902,0.994535519125683,0.8571428571428571,0.8405172413793103
hepatitis,2,multirocket,1,0.9977728285077953,0.9972677595628416,0.7959183673469388,0.7810344827586206
hepatitis,2,storm minirocket,0,0.9020044543429844,0.8857492090882945,0.8367346938775511,0.8155172413793104
hepatitis,2,storm multirocket,0,0.979955456570156,0.9813776243888408,0.8163265306122449,0.8060344827586207
hepatitis,2,storm multirocket,1,0.9487750556792872,0.9456838818357368,0.8775510204081632,0.8655172413793104
hepatitis,3,minirocket,0,0.9619686800894854,0.9601803856520836,0.8431372549019608,0.8309523809523809
hepatitis,3,multirocket,0,0.9955257270693512,0.9945054945054944,0.8627450980392157,0.8547619047619047
hepatitis,3,multirocket,1,0.9977628635346756,0.9972527472527472,0.9019607843137256,0.888095238095238
hepatitis,3,storm minirocket,0,0.8903803131991052,0.8722682977399958,0.9411764705882352,0.9285714285714286
hepatitis,3,storm multirocket,0,0.96420581655481,0.9655090192826042,0.9411764705882352,0.9357142857142856
hepatitis,3,storm multirocket,1,0.9395973154362416,0.9309869375907112,0.9411764705882352,0.9285714285714286
hepatitis,4,minirocket,0,0.959910913140312,0.9601976252105674,0.7346938775510204,0.7525862068965518
hepatitis,4,multirocket,0,0.9955456570155902,0.994535519125683,0.8163265306122449,0.8137931034482759
hepatitis,4,multirocket,1,0.9977728285077953,0.9972677595628416,0.8367346938775511,0.8310344827586207
hepatitis,4,storm minirocket,0,0.8864142538975501,0.8657709848391472,0.8367346938775511,0.8077586206896552
hepatitis,4,storm multirocket,0,0.9977728285077953,0.9981203007518796,0.8775510204081632,0.8732758620689656
hepatitis,4,storm multirocket,1,0.9821826280623608,0.9798471588808084,0.8979591836734694,0.8905172413793103
hepatitis,5,minirocket,0,0.9642857142857144,0.9622022888957624,0.86,0.8500000000000001
hepatitis,5,multirocket,0,0.9910714285714286,0.9907619342200228,0.88,0.8833333333333333
