dataset,fold,method,first_order_diff_used,train_accuracy,train_auc,test_accuracy,test_auc
auslan2,0,minirocket,0,0.75,0.967318244170096,0.65,0.9555555555555556
auslan2,0,multirocket,0,0.7888888888888889,0.9732853223593964,0.6,0.9527777777777776
auslan2,0,multirocket,1,0.7833333333333333,0.9745541838134428,0.55,0.9472222222222222
auslan2,0,storm minirocket,0,0.6666666666666666,0.941289437585734,0.75,0.9638888888888888
auslan2,0,storm multirocket,0,0.7222222222222222,0.9522633744855968,0.85,0.9777777777777776
auslan2,0,storm multirocket,1,0.2388888888888889,0.7997256515775034,0.5,0.8277777777777777
auslan2,1,minirocket,0,0.7944444444444444,0.9730281207133058,0.65,0.9277777777777778
auslan2,1,multirocket,0,0.8111111111111111,0.9782064471879288,0.6,0.925
auslan2,1,multirocket,1,0.8444444444444444,0.98460219478738,0.5,0.9305555555555556
auslan2,1,storm minirocket,0,0.6777777777777778,0.949125514403292,0.8,0.95
auslan2,1,storm multirocket,0,0.5166666666666667,0.90778463648834,0.7,0.8916666666666667
auslan2,1,storm multirocket,1,0.3388888888888889,0.8275891632373114,0.55,0.8916666666666667
auslan2,2,minirocket,0,0.7888888888888889,0.9709876543209875,0.7,0.9305555555555556
auslan2,2,multirocket,0,0.7944444444444444,0.9762517146776406,0.55,0.9305555555555556
auslan2,2,multirocket,1,0.8277777777777777,0.9844307270233196,0.5,0.925
auslan2,2,storm minirocket,0,0.6722222222222223,0.9452674897119342,0.6,0.9222222222222224
auslan2,2,storm multirocket,0,0.7444444444444445,0.9632716049382716,0.65,0.8916666666666667
auslan2,2,storm multirocket,1,0.3777777777777777,0.8432098765432101,0.6,0.8958333333333334
auslan2,3,minirocket,0,0.7777777777777778,0.9757887517146776,0.55,0.8305555555555556
auslan2,3,multirocket,0,0.8,0.9805212620027433,0.55,0.8194444444444444
auslan2,3,multirocket,1,0.8111111111111111,0.9819615912208504,0.5,0.8222222222222222
auslan2,3,storm minirocket,0,0.6611111111111111,0.9501886145404664,0.6,0.8888888888888888
auslan2,3,storm multirocket,0,0.6055555555555555,0.9226851851851852,0.55,0.8444444444444444
auslan2,3,storm multirocket,1,0.3388888888888889,0.8088820301783266,0.55,0.8388888888888889
auslan2,4,minirocket,0,0.7833333333333333,0.97318244170096,0.55,0.9166666666666666
auslan2,4,multirocket,0,0.7944444444444444,0.9774691358024692,0.55,0.9277777777777778
auslan2,4,multirocket,1,0.8611111111111112,0.987534293552812,0.5,0.9055555555555556
auslan2,4,storm minirocket,0,0.7166666666666667,0.9593964334705076,0.6,0.9055555555555556
auslan2,4,storm multirocket,0,0.4888888888888889,0.8858882030178327,0.6,0.9027777777777778
auslan2,4,storm multirocket,1,0.4444444444444444,0.8635802469135803,0.5,0.8833333333333333
auslan2,5,minirocket,0,0.8,0.9717078189300412,0.5,0.85
auslan2,5,multirocket,0,0.8222222222222222,0.978429355281207,0.55,0.8416666666666667
auslan2,5,multirocket,1,0.8777777777777778,0.9876200274348422,0.55,0.8166666666666667
auslan2,5,storm minirocket,0,0.7111111111111111,0.9495713305898488,0.6,0.8388888888888889
auslan2,5,storm multirocket,0,0.6611111111111111,0.9478223593964334,0.65,0.8916666666666667
auslan2,5,storm multirocket,1,0.5166666666666667,0.9212962962962962,0.55,0.8194444444444444
auslan2,6,minirocket,0,0.8666666666666667,0.9845336076817556,0.5,0.8972222222222223
auslan2,6,multirocket,0,0.8222222222222222,0.977880658436214,0.6,0.9222222222222224
auslan2,6,multirocket,1,0.8166666666666667,0.9790466392318244,0.6,0.8833333333333333
auslan2,6,storm minirocket,0,0.6,0.9444272976680383,0.65,0.9222222222222224
auslan2,6,storm multirocket,0,0.5722222222222222,0.9195473251028808,0.7,0.9333333333333332
auslan2,6,storm multirocket,1,0.3777777777777777,0.8618827160493828,0.6,0.9222222222222224
auslan2,7,minirocket,0,0.8222222222222222,0.973131001371742,0.45,0.8444444444444444
auslan2,7,multirocket,0,0.8611111111111112,0.9872085048010972,0.55,0.8472222222222222
auslan2,7,multirocket,1,0.8444444444444444,0.9845336076817558,0.45,0.7833333333333333
auslan2,7,storm minirocket,0,0.7166666666666667,0.954749657064472,0.55,0.8444444444444444
auslan2,7,storm multirocket,0,0.4388888888888889,0.873165294924554,0.5,0.7861111111111111
auslan2,7,storm multirocket,1,0.2111111111111111,0.7398319615912208,0.4,0.6277777777777778
